"Exercise Name";"Type of Activity";"Type of Equipment";"Body Part";"Type";"Muscle Groups Activated";"Instructions"
"Push-Up";"Strength";"Bodyweight";"Upper Body";"Push";"Chest, Triceps, Shoulders, Core";"Start in a plank position, lower your body until your chest nearly touches the floor, then push back up to the starting position."
"Goblet Squat";"Strength";"Dumbbell";"Lower Body";"Push";"Quads, Glutes, Hamstrings, Core";"Hold a dumbbell at your chest, squat down by bending your knees and hips, then push through your heels to return to standing."
"Deadlift";"Strength";"Barbell";"Lower Body";"Pull";"Hamstrings, Glutes, Back, Core";"Stand with feet hip-width apart, grip the barbell, lift it by straightening your legs and hips, then lower it back to the ground."
"Plank";"Mobility";"Bodyweight";"Core";"Hold";"Core, Shoulders, Glutes";"Keep your forearms on the ground, body in a straight line from head to heels, and hold the position."
"Kettlebell Swing";"Cardio";"Kettlebell";"Full Body";"Pull";"Glutes, Hamstrings, Core, Shoulders";"Swing the kettlebell between your legs, then explosively drive your hips forward to swing it to shoulder height."
"Resistance Band Row";"Strength";"Resistance Band";"Upper Body";"Pull";"Lats, Rhomboids, Biceps, Rear Delts";"Anchor the band, hold handles with arms extended, then pull toward your torso by squeezing your shoulder blades together."
"Jumping Jacks";"Warm-Up";"Bodyweight";"Full Body";"Push";"Calves, Delts, Hip Flexors, Core";"Jump feet apart while raising arms overhead, then return to the starting position and repeat."
"Shoulder Press";"Strength";"Dumbbells";"Upper Body";"Push";"Shoulders, Triceps, Upper Chest";"Hold dumbbells at shoulder height, press them overhead until arms are fully extended, then lower back down."
"Glute Bridge";"Mobility";"Bodyweight";"Lower Body";"Push";"Glutes, Hamstrings, Core";"Lie on your back, feet flat on the ground, lift your hips by squeezing your glutes, then lower slowly."
"Hamstring Stretch";"Mobility";"Bodyweight";"Lower Body";"Stretch";"Hamstrings, Calves, Lower Back";"Sit on the floor, extend one leg forward, reach toward your toes while keeping your back straight."
"Mountain Climbers";"Cardio";"Bodyweight";"Core";"Push";"Core, Shoulders, Hip Flexors, Quads";"Start in a plank, drive knees toward chest in a running motion while keeping your core tight."
"Dumbbell Lateral Raise";"Strength";"Dumbbells";"Upper Body";"Push";"Delts, Traps";"Hold dumbbells by your sides, raise arms laterally to shoulder height, then lower slowly."
"Russian Twist";"Mobility";"Bodyweight";"Core";"Hold";"Obliques, Core, Hip Flexors";"Sit on the floor, lean back, lift feet, and twist torso side to side."
"Walking Lunges";"Strength";"Bodyweight";"Lower Body";"Push";"Glutes, Quads, Hamstrings";"Step forward into a lunge, lower hips until both knees are at 90°, then repeat with other leg."
"TRX Row";"Strength";"TRX";"Upper Body";"Pull";"Back, Biceps, Rear Delts";"Lean back holding TRX handles, pull your chest to the handles by squeezing your shoulder blades."
"Burpees";"Cardio";"Bodyweight";"Full Body";"Push";"Quads, Chest, Core, Shoulders";"Drop into squat, kick feet back, do a push-up, return to squat, then jump up."
"Leg Raises";"Mobility";"Bodyweight";"Core";"Hold";"Lower Abs, Hip Flexors";"Lie on your back, lift legs together upward, then slowly lower without touching the floor."
"Overhead Barbell Press";"Strength";"Barbell";"Upper Body";"Push";"Shoulders, Triceps, Upper Chest";"Stand with barbell at shoulder level, press it overhead until arms are extended, lower back down."
"Bicep Curl";"Strength";"Dumbbells";"Upper Body";"Pull";"Biceps, Forearms";"Hold dumbbells with arms extended, curl them up while keeping elbows close to the torso."
"Lying Leg Curl";"Strength";"Resistance Band";"Lower Body";"Pull";"Hamstrings, Calves";"Attach band to ankles and anchor point, lie face down, curl heels toward glutes."
"Calf Raise";"Strength";"Bodyweight";"Lower Body";"Push";"Calves";"Stand with feet hip-width, raise heels off ground, hold briefly, then lower slowly."
"Chest Fly";"Strength";"Dumbbells";"Upper Body";"Push";"Chest, Shoulders, Biceps";"Lie on bench, extend arms out to the side with slight elbow bend, bring dumbbells together over chest."
"Sit-Up";"Mobility";"Bodyweight";"Core";"Push";"Abs, Hip Flexors";"Lie on your back, knees bent, curl upper body toward knees, then lower slowly."
"Romanian Deadlift";"Strength";"Barbell";"Lower Body";"Pull";"Hamstrings, Glutes, Lower Back";"Hold barbell, hinge at hips with slight knee bend, lower bar, then return upright."
"High Knees";"Cardio";"Bodyweight";"Lower Body";"Push";"Hip Flexors, Quads, Core";"Run in place while lifting knees toward chest as high as possible."
"Cable Face Pull";"Strength";"Cable Machine";"Upper Body";"Pull";"Rear Delts, Traps, Upper Back";"Pull cable handles toward face with elbows high and outward, squeeze shoulder blades together."
"Jump Squats";"Cardio";"Bodyweight";"Lower Body";"Push";"Quads, Glutes, Calves";"Perform a squat then jump explosively, land softly and repeat."
"Side-Lying Leg Lift";"Mobility";"Bodyweight";"Lower Body";"Push";"Abductors, Glutes";"Lie on one side, lift top leg upward while keeping it straight, then lower slowly."
"Reverse Fly";"Strength";"Dumbbells";"Upper Body";"Pull";"Rear Delts, Rhomboids, Traps";"Hinge at hips, lift arms out to sides with elbows slightly bent, then return slowly."
"Toe Touches";"Mobility";"Bodyweight";"Core";"Stretch";"Abs, Hamstrings, Hip Flexors";"Lie on back with legs up, reach hands toward toes by lifting shoulders off the floor."
"Standing Oblique Crunch";"Warm-Up";"Bodyweight";"Core";"Push";"Obliques, Abs, Hip Flexors";"Stand tall, bring elbow and same-side knee together by crunching sideways."
"Step-Ups";"Strength";"Bodyweight";"Lower Body";"Push";"Quads, Glutes, Calves";"Step onto elevated surface with one foot, push through heel to stand, then step down."
"Battle Ropes Slams";"Cardio";"Battle Ropes";"Full Body";"Push";"Shoulders, Arms, Core, Legs";"Grip ropes, raise both arms, then slam them down forcefully in waves."
"Bird Dog";"Mobility";"Bodyweight";"Core";"Hold";"Core, Glutes, Shoulders";"Start on hands and knees, extend opposite arm and leg, hold, then switch sides."
"Incline Bench Press";"Strength";"Barbell";"Upper Body";"Push";"Chest, Triceps, Shoulders";"Lie on incline bench, press barbell from chest to extended arms, then lower."
"Skater Jumps";"Cardio";"Bodyweight";"Lower Body";"Push";"Glutes, Quads, Hamstrings";"Jump sideways from one foot to the other, landing softly and swinging arms."
"Wall Sit";"Mobility";"Bodyweight";"Lower Body";"Hold";"Quads, Glutes, Calves";"Sit against wall with thighs parallel to floor, hold position with back flat."
"Lat Pulldown";"Strength";"Cable Machine";"Upper Body";"Pull";"Lats, Biceps, Rear Delts";"Pull bar down to chin level while squeezing shoulder blades, then release slowly."
"Toe Tap Crunch";"Mobility";"Bodyweight";"Core";"Push";"Abs, Hip Flexors";"Lie on back with legs up, tap toes with alternating hands during crunch movement."
